Scopus	ad1ac51b214311ec80d244af2806d069	from inference to designa comprehensive framework for uncertainty quantification in engineering with limited information	SCOPUS_ID:85114783669	10.1016/j.ymssp.2021.108210	None	Article	0	2022-02-15	Mechanical Systems and Signal Processing	None	[]	[]
Scopus	bba0a149214311ec879c44af2806d069	inference of ventricular activation properties from non invasive electrocardiography	SCOPUS_ID:85111038975	10.1016/j.media.2021.102143	None	Article	0	2021-10-01	Medical Image Analysis	None	[]	[]
Scopus	c45145de214311ecae4c44af2806d069	accelerating uncertainty quantification of groundwater flow modelling using a deep neural network proxy	SCOPUS_ID:85105796172	10.1016/j.cma.2021.113895	None	Article	0	2021-09-01	Computer Methods in Applied Mechanics and Engineering	None	[]	[]
Scopus	ce4cd56a214311eca49e44af2806d069	limit theorems for cloning algorithms	SCOPUS_ID:85105070045	10.1016/j.spa.2021.04.007	None	Article	0	2021-08-01	Stochastic Processes and their Applications	None	[]	[]
Scopus	eb783474214311ec872344af2806d069	a systematic review of multivariate uncertainty quantification for engineering systems	SCOPUS_ID:85103371123	10.1016/j.cirpj.2021.03.004	None	Review	0	2021-05-01	CIRP Journal of Manufacturing Science and Technology	None	[]	[]
Scopus	eee2b630214311ecaf6844af2806d069	learning model discrepancya gaussian process and sampling based approach	SCOPUS_ID:85097523920	10.1016/j.ymssp.2020.107381	None	Article	0	2021-05-01	Mechanical Systems and Signal Processing	None	[]	[]
Scopus	19d3a347214411ec8eac44af2806d069	characterising group level brain connectivitya framework using bayesian exponential random graph models	SCOPUS_ID:85095940563	10.1016/j.neuroimage.2020.117480	None	Article	0	2021-01-15	NeuroImage	None	[]	[]
Scopus	1a710991214411ecacb944af2806d069	uncertainty modelling in deep learning for safer neuroimage enhancementdemonstration in diffusion mri	SCOPUS_ID:85093671306	10.1016/j.neuroimage.2020.117366	None	Article	6	2021-01-15	NeuroImage	None	[]	[]
Scopus	458f2205214411ecb1fc44af2806d069	optogenetic tuning reveals rho amplification dependent dynamics of a cell contraction signal network	SCOPUS_ID:85097122341	10.1016/j.celrep.2020.108467	None	Article	2	2020-12-01	Cell Reports	None	[]	[]
Scopus	4c35615a214411eca8ed44af2806d069	inference for a generalised stochastic block model with unknown number of blocks and non conjugate edge models	SCOPUS_ID:85088871642	10.1016/j.csda.2020.107051	None	Article	1	2020-12-01	Computational Statistics and Data Analysis	None	[]	[]
Scopus	5b00aa12214411eca39744af2806d069	external beam total iba using datafurnace	SCOPUS_ID:85091254161	10.1016/j.nimb.2020.08.002	None	Article	2	2020-10-15	Nuclear Instruments and Methods in Physics Research, Section B: Beam Interactions with Materials and Atoms	None	[]	[]
Scopus	60b55c10214411eca0b044af2806d069	challenges for biophysical modeling of microstructure	SCOPUS_ID:85088794141	10.1016/j.jneumeth.2020.108861	None	Review	15	2020-10-01	Journal of Neuroscience Methods	None	[]	[]
Scopus	6df64403214411ec9ca544af2806d069	networks beyond pairwise interactionsstructure and dynamics	SCOPUS_ID:85087951894	10.1016/j.physrep.2020.05.004	None	Review	82	2020-08-25	Physics Reports	None	[]	[]
Scopus	8066fbd5214411eca65c44af2806d069	jellyfysh version1.a python application for all atom event chain monte carlo	SCOPUS_ID:85078903570	10.1016/j.cpc.2020.107168	None	Article	2	2020-08-01	Computer Physics Communications	None	[]	[]
Scopus	9f710a28214411ecbb3b44af2806d069	an approximation scheme for quasi stationary distributions of killed diffusions	SCOPUS_ID:85072606864	10.1016/j.spa.2019.09.010	None	Article	4	2020-05-01	Stochastic Processes and their Applications	None	[]	[]
