Scopus	traffic signal optimization on a square lattice with quantum annealing	SCOPUS_ID:85100952463	10.1038/s41598-021-82740-0	None	Article	Full Text
Scopus	hybrid quantum annealing via molecular dynamics	SCOPUS_ID:85104554412	10.1038/s41598-021-87676-z	None	Article	Full Text
Scopus	optimizing machine learning models for granular ndfeb magnets by very fast simulated annealing	SCOPUS_ID:85100912756	10.1038/s41598-021-83315-9	None	Article	Full Text
Scopus	creating polar antivortex in pbtio<inf>3</inf>/srtio<inf>3</infsuperlattice	SCOPUS_ID:85103986928	10.1038/s41467-021-22356-0	None	Article	Full Text
Scopus	a parameter adaptive method for state of charge estimation of lithium ion batteries with an improved extended kalman filter	SCOPUS_ID:85102333947	10.1038/s41598-021-84729-1	None	Article	Full Text
Scopus	optimization of the composition in a composite material for microelectronics application using the ising model	SCOPUS_ID:85100501082	10.1038/s41598-021-81243-2	None	Article	Full Text
Scopus	optimizing respiratory virus surveillance networks using uncertainty propagation	SCOPUS_ID:85099253782	10.1038/s41467-020-20399-3	None	Article	Full Text
Scopus	gumbel softmax based optimizationa simple general framework for optimization problems on graphs	SCOPUS_ID:85100231925	10.1186/s40649-021-00086-z	None	Article	Full Text
Scopus	tclbma task chain based load balancing algorithm for microservices	SCOPUS_ID:85093972294	10.26599/TST.2019.9010032	None	Article	Full Text
Scopus	parameter tuning of software effort estimation models using antlion optimization	SCOPUS_ID:85102794302	10.12928/TELKOMNIKA.v19i3.16907	None	Article	Full Text
Scopus	identifying epidemic spreading dynamics of covid 1by pseudocoevolutionary simulated annealing optimizers	SCOPUS_ID:85089511263	10.1007/s00521-020-05285-9	None	Article	Full Text
Scopus	characterization of groundwater pollution sources by kriging based linked simulation optimization	SCOPUS_ID:85101582663	10.21660/2021.81.6209	None	Article	Full Text
Scopus	a mathematical formulation and heuristic approach for the heterogeneous fixed fleet vehicle routing problem with simultaneous pickup and delivery	SCOPUS_ID:85101561780	10.3934/jimo.2020012	None	Article	Full Text
Scopus	a two stage solution approach for plastic injection machines scheduling problem	SCOPUS_ID:85101592453	10.3934/jimo.2020022	None	Article	Full Text
Scopus	profit optimization for multi mode repetitive construction project with cash flows using metaheuristics	SCOPUS_ID:85103961218	10.1007/s43452-021-00218-2	None	Article	Full Text
Scopus	computational intelligence based optimization of hierarchical virtual power plants	SCOPUS_ID:85082875634	10.1007/s12667-020-00382-z	None	Article	Full Text
Scopus	mind mappingsenabling efficient algorithm accelerator mapping space search	SCOPUS_ID:85104787549	10.1145/3445814.3446762	None	Conference Paper	Full Text
Scopus	application of simulated annealing particle swarm optimization in complex three dimensional path planning	SCOPUS_ID:85104800905	10.1088/1742-6596/1873/1/012077	None	Conference Paper	Full Text
Scopus	physical therapy scheduling of inpatients based on improved genetic algorithm	SCOPUS_ID:85104583538	10.1088/1742-6596/1848/1/012009	None	Conference Paper	Full Text
Scopus	cutting parameter optimization method in multi pass milling based on improved adaptive pso and sa	SCOPUS_ID:85104618662	10.1088/1742-6596/1848/1/012116	None	Conference Paper	Full Text
Scopus	multi uav task assignment based on quantum genetic algorithm	SCOPUS_ID:85104603930	10.1088/1742-6596/1824/1/012010	None	Conference Paper	Full Text
Scopus	research on picking route optimization of multi zone warehouse based on traveling salesman problem and simulated annealing algorithm	SCOPUS_ID:85104206345	10.1088/1742-6596/1861/1/012031	None	Conference Paper	Full Text
Scopus	feature selectionan assessment of some evolving methodologies	SCOPUS_ID:85104399706	10.17762/turcomat.v12i2.1802	None	Article	Full Text
Scopus	machine learning assisted optimisation of free parameters of a dual input power amplifier for wideband applications	SCOPUS_ID:85104316131	10.3390/s21082831	None	Article	Full Text
Scopus	assessing the effect of training sampling design on the performance of machine learning classifiers for land cover mapping using multi temporal remote sensing data and google earth engine	SCOPUS_ID:85104598938	10.3390/rs13081433	None	Article	Full Text
Scopus	optimization of the multi facility location problem using widely available office software	SCOPUS_ID:85103875648	10.3390/a14040106	None	Article	Full Text
Scopus	a simulated annealing algorithm and grid map based uav coverage path planning method for 3d reconstruction	SCOPUS_ID:85103507872	10.3390/electronics10070853	None	Article	Full Text
Scopus	aluminium parts casting scheduling based on simulated annealing	SCOPUS_ID:85104105978	10.3390/math9070741	None	Article	Full Text
Scopus	an improved hybrid approach for handling class imbalance problem	SCOPUS_ID:85099925689	10.1007/s13369-021-05347-7	None	Article	Full Text
Scopus	rule based detection of false data injections attacks against optimal power flow in power systems	SCOPUS_ID:85103480809	10.3390/s21072478	None	Article	Full Text
Scopus	a hybrid metaheuristic for the unrelated parallel machine scheduling problem	SCOPUS_ID:85104088208	10.3390/math9070768	None	Article	Full Text
Scopus	the ems vehicle patient transportation problem during a demand surge	SCOPUS_ID:85098875251	10.1007/s10898-020-00965-1	None	Article	Full Text
Scopus	metaheuristic to optimize computational convergence in convection diffusion and driven cavity problems	SCOPUS_ID:85104093737	10.3390/math9070748	None	Article	Full Text
Scopus	generating dna origami nanostructures through shape annealing	SCOPUS_ID:85103858292	10.3390/app11072950	None	Article	Full Text
Scopus	maxnodfan r package for fair and fast comparisons of nestedness between networks	SCOPUS_ID:85099931408	10.1111/2041-210X.13545	None	Article	Full Text
Scopus	measuring differences between phenomenological growth models applied to epidemiology	SCOPUS_ID:85100969589	10.1016/j.mbs.2021.108558	None	Article	Full Text
Scopus	effects of multi scale heterogeneity on the simulated evolution of ice rich permafrost lowlands under a warming climate	SCOPUS_ID:85103223189	10.5194/tc-15-1399-2021	None	Article	Full Text
Scopus	using a modified turian yuan model to enhance heterogeneous resistance in municipal sludge transportation pipeline	SCOPUS_ID:85103414895	10.1021/acsomega.1c00503	None	Article	Full Text
Scopus	energy efficiency and yield optimization for optical interconnects via transceiver grouping	SCOPUS_ID:85096839577	10.1109/JLT.2020.3039489	None	Article	Full Text
Scopus	on the suitability of second order accurate finite volume solvers for the simulation of atmospheric boundary layer flow	SCOPUS_ID:85102576392	10.5194/gmd-14-1409-2021	None	Article	Full Text
Scopus	analysis on the allocation optimization of airport baggage turntable	SCOPUS_ID:85102877806	10.1088/1742-6596/1802/3/032125	None	Conference Paper	Full Text
Scopus	exact and hybrid metaheuristic algorithms to solve bi objective permutation flow shop scheduling problem	SCOPUS_ID:85102774064	10.1088/1742-6596/1818/1/012042	None	Conference Paper	Full Text
Scopus	the role of vascular complexity on optimal junction exponents	SCOPUS_ID:85102702003	10.1038/s41598-021-84432-1	None	Article	Full Text
Scopus	inverse treatment planning for an electronic brachytherapy system delivering anisotropic radiation therapy	SCOPUS_ID:85101308774	10.1088/1361-6560/abda9a	None	Article	Full Text
Scopus	research on optimization of heterogeneous air cargo network based on hybrid particle swarm algorithm	SCOPUS_ID:85103283535	10.1088/1742-6596/1820/1/012191	None	Conference Paper	Full Text
